Major Occupation Group ID,Major Occupation Group,Minor Occupation Group ID,Minor Occupation Group,Broad Occupation ID,Broad Occupation,Detailed Occupation ID,Detailed Occupation,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2014,75722.0829648347,21329.58585350113,190.0,4749.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2015,75290.24659312135,21265.41850878493,188.0,4623.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2016,74668.91190792386,22778.20842057363,177.0,4518.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2017,74828.05612360827,22477.755529458747,171.0,4401.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2018,72178.12150806269,17818.92716561717,173.0,4403.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2019,69453.53155080214,20737.710858312083,162.0,3740.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2020,69315.74647887323,18637.07787512205,171.0,4331.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2021,74614.01934146903,19352.95765868758,183.0,4343.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2022,84647.63156766031,20578.645804550884,198.0,4663.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2023,90898.35267396242,24041.700115983927,211.0,4843.0
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,1110XX,Chief executives & legislators,2014,106535.1877152698,31274.42114973249,219.0,5226.0
